NI;CI;EDAD;SEXO;PALABRAS
26;3;12;1;castillo, casa-grande, sofá, cama, baño, luz, agua-potable, mansión, gas, familia, casa-ca,po. Casa-ciudad, rancho, establo, vivir-en-el-agua, xbox, gimnasio, cocina, terraza, patio-grande, lavandería, sótano, cochera, puerta-amplia, escalera, televisión, sala, comedor, espacio-para-basura.
26;5;12;1; viajar, aprender-idioma, jugar-futbol, xbox, billar, parque, futbol-americano, jugar-con-hijo, hacer-carnita-asada, competir-apuestas, conducir, enseñar-futbol, ver-futbol, voleibol, beisbol, golf, tenis, ver-real-madrid, ver-steelers.
26;6;12;1; alegre, sentimental, enojón, nervioso, agresivo, tolerante, respetuoso, amigable, rápido, lento, empático, menos-tolerante.
27;1;12;1;casa, edificio, restaurante, calle, tienda, escuela, plaza, planta, tecnología, luz, cancha, torneo, gobierno, delincuencia, libro, persona, fábrica.
27;2;12;1;fisicoquímico, bioquímico, químico, ingeniero, doctor, enfermero, maestro, psicólogo, escritor, deportista, abogado, juez, papá, mamá, niñero, médico, entrenador, fotógrafo, periodista, presentador, policía, soldado.
27;4;12;1;bioquímico, chef, deportista, ingeniero, doctorado, maestría, papá.
27;3;12;1;amplia, bonita, cuidada, dos-plantas, internet, luz, gas, agua.
27;5;12;1;leer, estudiar, platicar, ejercitar, trabajar, conocer.
27;6;12;1;gracioso, deportista, hermoso, responsable, dedicado, empático, honesto, soñador.
28;1;13;1;hospital, escuela, contaminación, parque, montaña, edificio, casa, pandilla, cyber, biblioteca, restaurante, oficina, centro-deportivo, plaza-comercial, adulto, niño, carro, camión, bicicleta, moto, calle, banqueta, árbol, comercial, espectacular, agua, centro-ayuda.
28;2;13;1;cirujano, doctor, deportista, bailarina, ingeniero, químico, profesor, futbolista, arquitecto, dentista, cardiólogo, vendedor, basquetbolista, industrial, mecatrónico, creador-videojuego, patólogo, docente, pescador, campesino, tenista, eléctrico, manufacturero, servidor-público, albañil, gerente, músico, actor.
28;4;13;1;veterinario, doctor, futbolista, ingeniero, químico, tenista, basquetbolista, arquitecto, cirujano, dibujante, actor, escritor, músico, profesor, vendedor, bailarín, docente, albañil, creador-videojuego, trabajar-oxxo, ayudante-gerente-walmart, cardiólogo, pescador, eléctrico, servidor.público, mecatrónico.
28;3;13;1;alberca, techo-alto, elevador, alta, ancha, grande, televisor, plantas, animales, piso, pared, ventana, puerta, foco, iluminación, solar, cuarto, baños, sillón, cama, reja, alacena, cocina, comida, agua, lavandería, patio-trasero, oficina, cuarto-videojuegos, bar, dos-pisos.
28;5;13;1;actor, dibujante, arreglar, vender, cocer, cocinar, futbol, jugar-videojuegos, ver-serie, ver-película, leer, basquetbol, voleibol, tenis, esculpir, arreglar-carro, conducir, pintar, escribir, piano, guitarra, oboe, tambor, tuba, guitarra-eléctrica, trompeta, televisión, plantar, ayudar, enseñar.
28;6;13;1;feliz, alegre, deportista, enojado, divertido, gracioso, simpático, social, inteligente, guapo, flojo, holgazán, aprendo-rápido, leo, juego-videojuegos, gusta-mate, canto, egoísta, cooperativo, alto, flaco, ayudo, dibujante.
29;1;12;2;farol, autopista, calle, organización, tienda, agua, vivienda, moda, sociedad, violencia, tratado, coche, tránsito, contaminación, desesperación, persona, familia, trabajo, empresa, rascacielos, edificio, ventana, tecnología, avance, moderna, taxi, transporte, amigo, noticia, polémica.
29;2;12;2;director, maestra, policía, bombero, abogado, comerciante, carnicero, vendedor, médico, doctor, enfermera, psicólogo, terapeuta, ingeniero, químico, diputada, estilista, artista, diseñador, oficinista, secretaria, bienes-raíces, modelo, coach, cantante, futbolista, actriz, filmógrafo, periodista, fotógrafo, actor-voz.
29;4;12;2;psicóloga, enfermera, médico, abogada, actriz, directora, escritora, periodista, informante, artista, cineasta, cantante, terapeuta, ingeniera, estilista, cajera, bombera, policía, presidenta, militar, maestra, atleta, comunicadora, secretaria, comerciante, vendedora, modelo.
29;3;12;2;acogedora, hogareña, alejada, tranquila, moderna, inmensa, ordenada, colorida, innovadora, relajante, pacífica, autosuficiente, minimalista, duradera, alta, iluminada, espaciosa, bonita, elegante, de-ensueño, deseada, segura, protegida, discreta, adornada, calorífica, vegetación, boscosa, jardín, variada.
29;5;12;2;leer, dibujar, pintar, animar, practicar, cantar, escribir, correr, encuestar, fotografiar, informar, enseñar, cuidar, vender, comprar, platicar, nadar, estudiar, fiestar, grabar-película, comer-repostería, cocina, esculpir, enlistar, describir, reflexionar, poetizar.
29;6;12;2;inteligente, amigable, amistosa, responsable, respetuosa, platicadora, empática, restringida, segura, celosa, enojona, frustrada, culta, artística, sabia, imperfecta, humana, bilingüe, atlética, escritora, lectora, dibujante, creativa, perceptiva, observadora, innovadora, paciente, aceptadora, relativa, positiva, entretenida, escuchadora, secreta, misteriosa, buen-humor, amistosa, cariñosa, penosa, abierta, adoptiva, fría.
30;1;13;1; población, edificio, carro, automóvil, taxi, casa, bicicleta, farola, avenida, puente, calle, bulevar, torreón, monclova, hospital, escuela, baño, centro-comercial, tienda.
30;2;13;1;ingeniero, ingeniero-civil, ingeniero-químico, ingeniero-industrial, arquitecto, oftalmólogo, neurólogo, doctor, enfermera, maestro, pediatra, físico, veterinario, odontólogo, químico, piloto, oculista, diseñador, fundidor, topógrafo.
30;4;13;1; ingeniero-civil, ingeniero-industrial, topógrafo, vulcanizador, carpintero, futbolista-americano, gerente, maestro, limpiador, taxi, uber, cabify, indriver.
30;3;13;1; alberca, techo, piso, silla, puerta, ventanal, ventana, mesa, timbre, cuarto, excusado, lavabo, baño, regadera, cama, sillón, escritorio, armario, vestidor, drenaje, luz, carro, patio, cochera, televisión, videojuegos, billar, futbolito, bar, cine, ventilador, cocina, plato, cubierto, vaso, lavavajilla.
30;5;13;1;jugar-futbol, televisión, jugar-videojuegos, billar, futbolito, leer, escuchar-música, bailar, limpiar, entrenar, netflix, youtube, dar-vuelta, amigos, cuidar-perro, viajar, tocar-guitarra, tocar-piano, tocar-flauta, tocar-clarinete.
30;6;13;1; feliz, agradecido, chaparro, divertido, enojón.
31;1;12;1; coche, pavimento, semáforo, edificio, paloma, autobús, gente, escuela, tienda, plaza, museo, estatua, avión, aeropuerto, metro, tren, nueva-york, chicago, cdmx, monterrey, moto.
31;2;12;1; químico, físico, matemático, biólogo, ingeniero, electricista, zoólogo, bioquímico, químicofísico, profesor, fisicomatemático, ingeniero-aeronáutica, diseñador, artista, médico, veterinario, astronauta, piloto, corredor, atleta, deportista, navegante, astrónomo, físicocuántico.
31;4;12;1; electricista, ingeniero-aerodinámica, ingeniero-aeronáutica, fisicoquímico, fisicocuántico
31;3;12;1; grande, espaciosa, moderna, jardín-amplio, simple, chida.
31;5;12;1; correr, leer, dibujar, videojuegos, ver-videos.
31;6;12;1;
32;1;12;1;parque, cine, tienda, oxxo, seven, heladería, hospital, walmart, merco, heb, plaza, pizzería, zapatería, escuela, estación-policía, edificio, carro, gasolinería, florería, construcción, callejón, casa, trabajo, resturante, centro-juego, casa.
32;2;12;1;doctor, enfermera, profesor, director, florera, arquitecto, abogado, policía, chef, pintor, autor, músico, trapecista, lavandero, mecánico, terapeuta, bariatra, endocrinólogo, payaso, actor, doble, tragafuego, conductor, carnicero, heladero, pizzero, contador, accionista, cuidador, director.
32;4;12;1;chef, veterinaria, cantante, psicóloga.
32;3;12;1;perro, perra, gato, gata, piscina, cuarto, sala, comedor, refri, estufa, mesa, sillón, pájaro, mucha-planta, librería, piso, billar, patio-grande, conejo, nutria, comedor.
32;5;12;1;dormir, leer, esuchar-música, ayudar-casa, jugar, dibujar, cantar, bailar, hacer-ritmo, llamar, lavar, televisión, cine, helado, ropa, zapatos, ropa-interior, despensa, champú, liga, cuidadora, mascota.
32;6;12;1;alegre, seria, gordita, temerosa, risueña, idealista, apoyadora, pensativa, inteligente, dormilona, jugadora, canto-mucho, paciente, insegura.
33;1;12;1;taco, calle, cultura, comida, tienda, centro-recreativo, diversión, economía, seguridad, calidad-de-personas-viven-ahí, animal, espacio, moderno, rural.
33;2;12;1;doctor, abogado, juez, dentista, impresor, economía, jurado, soldado, militar, cirujano, diputado, senador, creador-vino, astronauta, astrónomo.
33;4;12;1;impresor, cobrador, cine, computador, militar, entrenador.
33;3;12;1;grande, espaciosa, blanca, alberca, videojuegos, billar, segura, cerca-ciudad, mucha-ventana, iluminada, mucha-comida, cerca-parque, asador, cuarto-juego, chimenea, cocina-grande, mucho-carro, carro-viejo, plantas, mascota, césped.
33;5;12;1;jugar-videojuegos, nadar, deporte, billar, tirar, ver-película, amigo, familia, ordenar.
33;6;12;1;alegre, gusta-sonreír, ansioso, mente-abierta, veo-lado-bueno, gusto-antiguo, gusta-creer-que-estoy-preparado
34;1;12;2;carro, árbol, bicicleta, moto, casa, parque, gato, perro, tienda, ropa, centro, helado, comida, balón, lavadora, secadora, abanico, microondas, refrigerador, bolsa, cama, mueble, televisión, tableta, computadora, espejo, celular, pluma, lápiz.
34;2;12;2;doctorado, albañil, maestra, ingeniero, veterinario, gerente, administrador-empresas, mecatrónica, cajero, enfermero, ayudante-chef, auxiliar.
34;4;12;2;doctorado, maestría, marcador, enfermero, paciente, alumno, administrador, chef, comida, ingrediente, cubierto, planta, mesa, traste, trapo, ayudante, mesera, jefe, empresaria.
34;3;12;2;espejo, puerta, ventana, cama, patio, sala, comedor, lavandería, estudio, refrigerador, silla, mesa, minisplit, mueble, perro, gato, carro, pasto-sintético, cancha, juego, computadora, laptop, televisión, zapato, tenis.
34;5;12;2;futbol, estudiar, terminar-estudio, correr, comer, salir, divertirme, viajar, aprender, visitar-familia, atender-paciente, dibujar, leer, emocionarme, reír, llorar, escribir, chatear, cocinar, regar-plantas.
34;6;12;2;alegre, feliz, lentes, hermosa, chula, enojona, entiendo-persona, dedo-chueco, tierna, amigable, hacer-reír-persona, ayudar, estudiosa, poco-peleonera, confianza-cuando-necesitan, guardar-me-dice-gente, no-recorativa.
35;1;12;1;edificio, pavimento, lámpara, casa, departamento, coche, árbol, persona, cable, iluminación, parque, tienda, grafiti, pasto, paloma, colonia, barrio, calle, gasolinera, escuela, restaurante, empresa, mascota.
35;2;12;1; enfermero, médico, químico, mecatrónico, diseñador, programador, chef, piloto, economista, abogado, mesero, deportista, joyero, taxista, chofer, trailero, electricista, plomero, traumatólogo, pediatra, maestro, doctor, veterinario, escritor.
35;4;12;1; ingeniero-químico, ingeniero-mecatrónico, empresario, programador, desarrollador, deportista, químico-farmacéutico.
35;3;12;1; iluminada, limpia, abierta, arreglada, bonita, alberca, patio-grande, extensa, una-planta, ventana, agradable, acogedora, hogareña, aromatizada, árboles, una-planta, blanca.
35;5;12;1; deporte, correr, jugar-videojuegos, jugar-perro, convivir-familia, salir-amigos, gimnasio, leer, practicar, entrenar, futbol, estudiar, fiesta, ir-partidos, viajar.
35;6;12;1; responsable, amable, honesto, empático, tolerante, deportista, divertido, competitivo, hablador, desastroso, amistoso
36;1;12;1;automóvil, contaminación, edificio, rascacielos, tienda, tráfico, hotel, oficina, calle, avenida, camión, turismo, apartamento, comunicación, ventana.
36;2;12;1; medicina, físico, químico, ingeniero-químico, ingeniero-industrial, mecatrónica, filosofía, psicología, criminología, maestra, ingeniero-informática, diseño-gráfico, contador, matemático, físico-nuclear, cirujano.
36;4;12;1; contador, informático, analizador-información, investigador, químico, matemático, físico.
36;3;12;1; inteligente, grande, dos-plantas, decorada, bonita, acogedora, cómoda, moderna, colorida, elegante.
36;5;12;1; jugar-videojuegos, futbol, rompecabezas, jardinería, coleccionista, basquetbol.
36;6;12;1;callado, alto, serio, inteligente, disciplinado.
37;1;12;1;Saltillo, Madrid, París, carro, edificio, parque, centro-comercial, hospital, contaminación, escuela, secundaria, prepa, universidad, carrera, maestría, puente, tienda, carretera.
37;2;12;1;doctor, abogado, futbolista, enfermera, maestra, ingeniero, albañil, maestro, juez, licenciado, contador, cirujano.
37;4;12;1;cerillito, contador, ingeniero, futbolista, jardinero, cocinero, barbero, maestro.
37;3;12;1;privada, amplia, bonita, decorada, árbol, mascota, videojuego, jardín, alberca, campo-futbol, tina, pasto, pato, lago, enchufe-todo-lado, maceta, cochera, terraza, sótano.
37;5;12;1;youtuber, playa, mar, peda, loquera.
37;6;12;1;alegre, tolerante, siempre-sonriente-pesar-problema, enojoso, fastidioso
38;1;12;1;carro, persona, edificio, casa, escuela, autobús, moto, tienda, animal, árbol, césped, pavimentación, parque, club-deportivo, museo, cine, zacatecas.
38;2;12;1;cardiólogo, maestro, bombero, policía, psicólogo, nutriólogo, jardinero, entrenador, ingeniero, químico, endocrinólogo, cirujano, enfermero, mesero, cocinero, mayordomo, arquitecto.
38;4;12;1;ingeniero, arquitecto, cocinero, entrenador, bombero, policía, químico
38;3;12;1;grande, cuarto, ventana, jardín, dos-plantas, perros, televisión, cocina, cama, baños, alberca, escalera, madera, xbox, clóset, techo-grande, pared-blanca, piso-café.
38;5;12;1;leer, estudiar, entrenar, jugar, dormir, tarea, limpieza, cocinar, televisión, xbox, futbol-americano, crosfit, dibujar, tiempo-familia, aprender-cosas, tochito, amigo, hablar
38;6;12;1;alegre, simpático, amistoso, compartido, platicador, risueño, peleonero, enojón, dedicado, listo, flojeroso, interesante, deportista.
39;1;12;1;carro, camión, carretera, calle, semáforo, casa, colonia, fraccionamiento, departamento, edificio, supermercado, centro-comercial, tienda-comercial, museo, estatua, monumento, escuela, universidad, parque.
39;2;12;1;maestro, neurocirujano, otorrinolaringólogo, dermatólogo, dentista, veterinario, abogado, biomedicina, ingeniero-industrial, ingeniero-mecánico, mecánico, arquitecto, policía, bombero, futbolista, beisbolista, barrendero.
39;4;12;1;ingeniero-biomédico, director-empresa, ingeniero, arquitecto, futbolista, recepcionista.
39;3;12;1;grande, cabaña, patio, perros, mueble-rústico, cocina-madera, comodidad-tecnológica, alberca.
39;5;12;1; jugar-futbol, correr, salir-amigos, salir-familia, nuevos-lugares, cacería, pesca, cocinar, jugar-perros, arreglar-auto-viejo, dibujar.
39;6;12;1; menos-responsable, caballeroso, trabajador, competitivo, tolerante, abierto, comprensivo, sentimental, atento.
40;1;12;1;carro, casa, calle, escuela, carretera, edificio, plaga, parque, súpermercado, tienda, semáforo, persona, patrulla, moto, accidente, choque, puente, mural, residencia, fraccionamiento, estacionamiento.
40;2;12;1;médico, dentista, licenciado, ingeniero, biólogo, policía, abogado, nutriólogo, enfermero, maestro, investigador, criminólogo, veterinario, pescador, chofer, actor.
40;4;12;1;ingeniero-mecatrónica, dentista, abogado.
40;3;12;1;dos-pisos, cuatro-habitaciones, cocina-grande, patio-extenso, tres-baños, sala, comedor, palapa, cochera, pórtico, lavandería, jardín.
40;5;12;1;basquetbol, ejercicio, familia, amigo, ir-cine, estar-casa, deporte, restaurante, escuchar-música, manejar.
40;6;12;1;serio, callado, flojo, alegre, curioso, cuidadoso, responsable.
41;1;12;1;semáforo, carro, edificio, puente, centro-comercial, supermercado, señal, carretera, restaurante, escuela, peatón,  departamento, multa, contaminación, parque, museo, casa, carril, hospital, costco.
41;2;12;1;doctor, maestro, ingeniería, arquitecto, actor, cineasta, político, veterinario, soldado, barbero, locutor, productor-cine, animador-deportivo, chef, contador, cajero, administrador-empresa, recursos-humanos, inventor, escritor, poeta, nadador, gimnasta, cantante, rapero, oftalmólogo, educador, policía, comediante, noticiero, reportero.
41;4;12;1;productor-cine, administrador-empresa, conductor-televisión, actor, chef, animador-películas, político, nadador.
41;3;12;1;un-piso, acogedora, moderna, sótano, lujo, sencillo, grande, hecho-desastre, ventana, jardín, lejos-ciudad, tres-pisos, dos-pisos, limpia, espaciosa, televisión, común, puerta, cocina
41;5;12;1;comprar-lo-que-se-me-antoje, comer, televisión, ver-película, escuchar-música, visitar-ciudad, xbox, ver-Disney, ir-cine, ir-plaza-comercial, usar-celular, dormir, bañarme, ejercicio, nadar, nostalgia.
41;6;12;1;serio, creativo, enojón, criticón, responsable, feliz, nerd, grandes-amigos, apasionado, adicto-cultura-geek, adicto-doritos, coleccionista, estudioso, tímido, inteligente.
42;1;12;1;museo, puente, policía, edificio, casa, tienda, roma, semáforo, calle, venecia, barcelona, madrid, presidente, carros, madrid, turín, manchester.
42;2;12;1;médico, cirujano, policía, bombero, rescatista, agricultor, secretario, maestro, director, diputado, alcalde, presidente, gobernador, mesero, cocinero, artista, militar, ingeniero, recolector, constructor.
42;4;12;1; locutor, comentarista, futbolista.
42;3;12;1;grande, montaña, playa, selva, pequeño, cerrada, bonita, espaciosa.
42;5;12;1; jugar-videojuegos, futbol, dibujar, ver-televisión, ver-videos, ver-redes-sociales, dormir, comer, salir, hablar-amigo, pintar, pensar.
42;6;12;1; chaparro, menor, callado, atento, honesto, respetuoso
43;1;12;2;edificio, carro, autobús, casa, contaminación, trabajo, persona, escuela, tránsito, empresa, mucha-persona, delincuencia.
43;2;12;2;doctor, ingeniero, veterinario, arquitecto, dentista, pediatra, químico-farmacobiólogo, biotecnólogo, artista, actor, cantante, bailarín, bombero, policía, piloto, maestro.
43;4;12;2;químico-farmacobiólogo, biotecnólogo, actriz, químico-alimentos.
43;3;12;2;grande, mucho-árbol, alberca, cancha, colorida, flores, mucho-cuarto.
43;5;12;2;leer, jugar, correr, pasear-perro, caminar, ir-parque, viajar.
43;6;12;2;callado, tímido, flojo, alegre, serio, poco-amigable, chaparro, nervioso, amable, respetuoso.
44;1;12;1; edificio, casa, calle, carro, escuela, espectacular, tienda, parque, ruido, estatua, museo, restaurante, farola, carretera, mucha-persona, puente, camión, construcción.
44;2;12;1;doctor, contador, mercadotecnia, nutrición, psicología, abogado, relaciones-exteriores, recursos-humanos, ingeniera, enfermera, químico, maestro, diseño-gráfico, idioma, animación-digital, cirujano, dentista, psiquiatra, internista, ingeniero-nanotecnología, letras, matemático, neurólogo. cirujano, finanzas, cineasta, biólogo-marino.
44;4;12;1; pastora, psiquiatra, genetista, animador-digital, dentista.
44;3;12;1;grande, patio-pequeño, sin-alberca, cocina-grande, biblioteca, cinco-habitaciones, árbol-entrada, escalera-caracol.
44;5;12;1; leer, escuchar-música, ver-película, hablar-amigo, dormir, ver-twitter, subir-árbol, correr, nadar, jugar-lluvia, colorear, jugar-videojuegos, viajar.
44;6;12;1;aventurero, apasionado, inquieto, alegre, lector, curioso, platicador, risueño, gracioso, impaciente.
45;1;12;2;edificio, museo, plaza, parque, restaurante, mucha-población, carro, escuela, fábrica, casa, hotel, hospital, atracción, contaminación.
45;2;12;2;medicina, arqueología, automotriz, arquitectura, veterinaria, ingeniera, astronauta, químico, matemática, lenguas, física, industrial, maestra, fundidor, artista.
45;4;12;2;arquitecto, veterinaria, química, astrología, medicina, artista, ingeniero-automotriz, matemática.
45;3;12;2; grande, buen-lugar, buena-zona, moderna, dos-pisos, espaciosa, interesante, cómoda, alberca, cuarto, baño, sala, patio, bonita, ventana.
45;5;12;2;bailar, cantar, pintar, dibujar, leer, jugar, estudiar, salir, comer, convivir, televisión, dormir, limpiar, recoger, ordenar, ir-cine, ir-amiga, basquetbol.
45;6;12;2;serio, alegre, tímido, soñador, chiquito, social, amable, respetuoso, organizador, tranquilo, abierto, atrevido, aventurero, sincero, amoroso, menos-enojón, menos-exaltado, valorador.
46;1;12;2; tienda, edificio, calle, carretera, gente, universidad, tecnológico, contaminación, hospital, tráfico, comercio, parque, cine, supermercado, fábrica, empleado.
46;2;12;2;maestro, enfermera, químico, físico, doctor, dentista, ingeniero, fotógrafa, artista, biólogo, agricultor, chef, criminóloga, farmacobióloga, obrero, arquitecto, laboratorista.
46;4;12;2;bióloga, química, chef, veterinaria, neurocirujana, cirujana, psicóloga.
46;3;12;2;grande, techo-alto, alberca, cuarto, cocina-grande, patio, mueble-moderno, mascota, escalera, puerta-grande, cama-grande, limpia, ciudad, pinturas, luz, agua.
46;5;12;2;cocinar, cuidar-mascota, ordenar, escribir-historias, ver-series, hablar-amigos, salir, caminar, comprar-ropa, conocer-gente, escuchar-música, jugar.
46;6;12;2;alto, grande, penoso, platicador, distraído, detallista, fiel, leal, amistoso, a-veces-callado, bailador.
47;1;12;1; edificio, negocio, auto, contaminación, persona, casa, ventana, calle, seguridad, oficina, escuela, atracción, puente, tienda, centro-comercial, servicios, los-ángeles.
47;2;12;1;doctor, maestro, químico, político, policía, bombero, paramédico, licenciado, comerciante, historiador, farmacéutico, albañil, arquitecto, ingeniero.
47;4;12;1;empresario, negociante, comerciante, vendero, jefe.
47;3;12;1;grande, segura, alberca, plantas, animales, ventana-grande, piso, cuatro, patio, portón, auto, timbre, cochera, alfombra, pasillo, puerta, librero, lámpara, luz, pilar.
47;5;12;1;jugar-videojuegos, ejercicio, lectura, activación, viajar, trabajar, aprender, futbol, correr, fiesta, amigo, jugar, película, cine, comprar
47;6;12;1; risueño, alegre, simpático, amable, ansioso, trabajador, amigable, respetuoso, generoso, feliz.
48;1;12;2;lámpara. Edificio, casa, avenida, carro, bulevar, semáforo, puente, colonia, fraccionamiento, súpermercado, farmacia, escuela, persona, parque, hospital restaurante, hotel, centro, iglesia, trabajo, autobús.
48;2;12;2;doctor, policía, forense, terapeuta, psicólogo, psiquiatra, chef, ingeniero, licenciado, veterinario, bombero, presidente, leyes, abogado, dermatología, nutriólogo, maestro, militar, empresario, atleta, secretario.
48;4;12;2; chef, dermatóloga, psicóloga, ingeniera diseño-gráfico, administración, maestra, niñera, consejera-escolar.
48;3;12;2;grande, alberca, bosque, ventana, planta, organizada, cuarto, juegos, sillón, televisiones, videojuegos, clima, cocina, mascotas, jacuzzi, lámpara, alfombra, timbre, cómoda, pacífica.
48;5;12;2; leer, ver-series, películas, hijos, repostería, deportes, bailar, cantar, estudiar, familia, amigo, reunión, dibujar, música, viajar, nadar.
48;6;12;2;risueña, criticona, directa, alegre, sensible, sentimental, dura, firme, segura, agradable, amable, respetuosa, irresponsable, creativa, realista, comunicativa, hábil, conformista.
49;1;12;2;edificio, tráfico, semáforo, auto, escultura, persona, local, nueva-york, plaza, las-vegas, parís, monumento, museo, berlín, saltillo, escuela, hotel, restaurante, tienda, centro-comercial, mazatlán, dallas, mural.
49;2;12;2;dentista, médico, neurocirujano, cardiólogo, leyes, diseño-gráfico, químico, físico, matemático, maestra, educadora, ingeniero, arquitecto, técnico, modista, cirujano, abogada, físico-matemático, entrenador, biólogo, juez
49;4;12;2; químico, médico, matemático.
49;3;12;2;mansión, casa-mejor-amiga, alberca, enorme, palacio, cuatro-pisos, recámara-enorme, jardín-grande, closet-enorme, baño-sauna, edificio, palapa, salón-fiesta, con-familia, cuarto-grande, gran-ciudad.
49;5;12;2;cuidar-hijos, bailar, nadar, jugar-amigos, salir-familia, ir-fiesta, convivir, estar-acostada, dormir, clases-inglés, jugar-perro, platicar-papás, ,arcar-amigo, ir-comer, estar-redes-sociales.
49;6;12;2; platicador, risueño, menos-serio, no-pleitista, bailador, deportista, fiestera, amiguera, cuando-me-enojo-contesto
50;1;13;2;catedral, tránsito, museo, calle, colonia, bulevar, ciudad-deportiva, mirador, bache, cancha, semáforo, señalamiento, peatón, ruta, historia, tienda, carrretera, centro-comercial, casa, fraccionamiento.
50;2;13;2;ingeniero, ingeniero-civil, ingeniero-software, dentista, doctor, abogado, policía, soldado, militar, ingeniero-mecánico, enfermera, mecatrónica, maestro, chef.
50;4;13;2;ingeniero, abogado, maestro, taxista, chofer, seguridad, cerillito, músico, trailero, matricero, recepcionista, chef, pinche, jardinero, electricista, soldador, carpintero, albañil arquitecto, pintor.
50;3;13;2;grande, cuadro, cantera, ventana, puerta, piso, baño, cocina, sala, comedor, silla, terraza, escalera, cuarto, cama, ropa, jacuzzi, portón, barandal, balcón, cochera, familia, luz, foco, televisión, sala-estar, sala-descanso, jardín.
50;5;13;2;futbol, acordeonista, lector, activista, jardinería, cocinero, youtuber, gamer, dibujo, vacacionar.
50;6;13;2;guapo, alegre, futbolista, risueño, feliz, relajado, veloz, eficaz, acelerado, tranquilo, centrado.
51;1;12;1;cine, árbol, artista, alumbrado, valla, cerca, pavimento, calle, parquímetro, lámpara, callejón, público, edificio, casa, gente, escuela, restaurante, trabajo, alcantarilla, niñas, centro-comercial, deforestación, sobrepoblación, grafiti, pandillero, robo, universidad, puesto-ambulante, mapa, plaza, lugar.
51;2;12;1;cirujano, médico, radiólogo, comerciante, policía, bombero, piloto, astronauta, biólogo, físico, químico, matemático, fotógrafo, licenciada, maestro, vendedor-ambulante, mecánico, pintor, joyero, soldado, político, carpintero, neurólogo, secretaria, filósofo, conserje, director.
51;4;12;1;doctor, radiólogo, biólogo, químico, cirujano, médico, especialista.
51;3;12;1;valla, árbol, arbusto, internet, pequeño, patio, gato, mascota, vecino, pintura, cama, televisión, videojuego, cocina, calle, pavimento, mantenimiento, relajación, grande, plaza, fraccionamiento, guardia, tranquilo, carro, mueble, sillón, refrigerador, estufa, lavandería, baño, ventana, naturaleza, ecológico, electricidad, gas.
51;5;12;1; leer, jugar, deporte, basquetbol, futbol, televisión, videojuegos, escribir, hablar, salir, pasear, comer, disfrutar, acampar, vpsites,  viajar, conocer, comprar, aprender, bajo, piano, ayudar, gato, soñar, ahorrar, ver, correr, moverme.
51;6;12;1;introvertido, feliz, inteligente, amable, ruidoso, descuidado, irresponsable, soñador, creativo, divertido, amigable, respetuoso, tolerante, ambicioso, arrogante, necio, terco, diferente, único.
52;1;12;2; casa, edificio, escuela, carro, autobús, árbol, carretera, puente, plaza, galería, restaurante, publicidad, habitante, feria, circo, tienda, trabajo, Saltillo, centro, mascota, la-alberca, semáforo, teatro
52;2;12;2;maestra, ingeniera, bombero, policía, licenciado, secretario, astronauta, veterinario, doctor, oculista, arquitecto, la-gastronomía, actor, pintor, actriz, cantante.
52;4;12;2; ingeniera-industrial, arquitecta, licenciada.
52;3;12;2;grande, bonita, colorida, alberca, carros, lámpara, parque, patio, árboles, recibidor, cuartos, jacuzzi, ventanas, televisiones, internet, en-la-ciudad, closet, cocina, entrada, camastros, espejos, sala-de-juegos, estancia, sillones, camas, accesorios, alfombras, mesas, retratos, fotos, decoración-linda.
52;5;12;2;pintar, maquillar, correr, gimnasio, nadar, tecnología, experimentos, cocinar, leer, practicar, música, ver-ropa, slime, cantar, futbol, pasear-perro, películas, comer, descansar. Pasear, ir-tiendas, salir-amigas, restaurantes, familia, xbox, estudiar, hacer-pendientes
52;6;12;2; amigable risueño, platicador, enojón, activo, deportista, callejero
53;1;12;2;social, violencia, seguridad, automóvil, autobús, seriedad, amistad, carretera, avenida, semáforo, hogar, familia, migrante, escuela, trabajo, oficina, aeropuerto, árbol, tecnología, ruido, contaminación, plástico, basura, electricidad, cable, bangkok, tokio, cataluña, hong-kong, persona, economía.
53;2;12;2;oficinista, oficial, bombero, licenciado, abogado, deportista, arquitecto, carpintero, electricista, obrero, granjero, criador, veterinario, doctor, cirujano, chofer, secretario, maestro, niñero, ingeniero, químico, físico, astrónomo, astronauta, científico, operador, cuidador, enfermero.
53;4;12;2;editora, publicista, escritora, pintora, psicóloga, psiquiatra, bailarina, licenciada, ingeniera, oficinista, enfermera, cantante, chofer, arquitecta, mesera, niñera, astrónoma, geógrafa, astronauta
53;3;12;2;grande, minimalista, natural, hogareña, mansión, piscina, blanco-y-negro, contemporánea, diferente, ostentosa, elegante, chic, punica, espaciosa, solitaria, ensueño, fantasiosa.
53;5;12;2;pintar, cantar, bailar, estudiar, platicar, socializar, caminar, correr, ejercitarme, leer, nadar, dibujar, escribir, pensar, amar, conocer, viajar, visitar, probar, cocinar, crear, idear, comprender, fotografiar, tocar.
53;6;12;2;creativo, serio, emprendedor, tímido, curioso, directo, extraño, amable, cariñoso, duro, maduro, pensativo, incomprensible, fiestero, enamoradizo, cambiante, pensativo
